t,vx,vxintra,vxinter,vy,vyintra,vyinter,fx,fy,ax,ay,cbocc
-5.0,-2.8700740964036115e-14,-2.8700740964036115e-14,0.0,-1.7278327443762767e-14,-1.7278327443762767e-14,0.0,-5.241507371327101e-19,-0.0,2.173243687194152e-5,0.0,0.0
-4.9989998999899985,3.326766611894932e-9,-2.225826279986262e-15,3.326768837721213e-9,5.799758578623036e-12,-2.3037769925017022e-14,5.81054047755572e-12,1.4218463346722371e-6,0.0,2.1731727058792185e-5,0.0,4.378357321838091e-20
-4.997999799979999,1.3333698074410733e-8,-3.417318420010106e-14,1.3333732247594935e-8,4.655357357597815e-11,-1.7278327443762767e-14,4.6553152054182754e-11,2.8578874548557466e-6,0.0,2.1729588162800535e-5,0.0,7.049815935605416e-19
-4.996999699969997,3.003581674494553e-8,-1.5044405251023028e-14,3.0035831789350785e-8,1.5725005806568493e-10,-2.3037769925017022e-14,1.57253521066178e-10,4.3081686282627266e-6,0.0,2.1726005965083033e-5,0.0,3.590922300692063e-18
-4.995999599959996,5.341481723972837e-8,-2.306899513398284e-15,5.3414819546627886e-8,3.7283750902399424e-10,-5.759442481254256e-15,3.728470577150918e-10,5.7727346121635904e-6,0.0,2.1720966201738618e-5,0.0,1.1416716860588271e-17
-4.994999499949994,8.341980914488739e-8,1.7168692710639654e-14,8.34197919761947e-8,7.279589729756504e-10,-1.7278327443762767e-14,7.279701763682414e-10,7.2516296454747594e-6,0.0,2.1714454564362943e-5,0.0,2.803362749640621e-17
-4.9939993999399945,1.1996802607161078e-7,-2.6637877588527562e-14,1.1996805270948836e-7,1.2567391466220848e-9,-1.1518884962508511e-14,1.2567570034267255e-9,8.7448974407926e-6,0.0,2.1706456700571e-5,0.0,5.845488917805092e-17
-4.992999299929993,1.6294629491961506e-7,2.8547629949697718e-15,1.6294629206485208e-7,1.992646150221866e-9,-1.1518884962508511e-14,1.992643844002749e-9,1.0252581176403704e-5,0.0,2.169695821452698e-5,0.0,1.0887898159408925e-16
-4.9919991999199915,2.122120357782035e-7,-2.986279064007598e-14,2.1221206564099413e-7,2.9681920365816743e-9,-5.759442481254256e-15,2.968183624539338e-9,1.1774723488226508e-5,0.0,2.1685944667483313e-5,0.0,1.8671037301086584e-16
-4.990999099909991,2.675955613767243e-7,1.0169370249689663e-14,2.67595551207354e-7,4.214880956073971e-9,-2.879721240627128e-14,4.214872390761199e-9,1.3311366461745545e-5,0.0,2.167340157832676e-5,0.0,3.005778023713251e-16
-4.98999899989999,3.2890154515914106e-7,-1.3994957290669796e-14,3.2890155915409846e-7,5.7629672600527834e-9,0.0,5.762989741905579e-9,1.4862551623893527e-5,0.0,2.165931442413296e-5,0.0,4.603501814556954e-16
-4.988998899889989,3.959117444117248e-7,-2.3367923854125858e-14,3.959117677796487e-7,7.641426703641303e-9,-3.4556654887525534e-14,7.641454823288848e-9,1.6428319934888694e-5,0.0,2.164366864072924e-5,0.0,6.771502410397458e-16
-4.987998799879987,4.683871531073104e-7,-7.800202920449922e-16,4.683871538873307e-7,9.87767999249278e-9,-2.3037769925017022e-14,9.877699338311485e-9,1.800871178004095e-5,0.0,2.1626449623265248e-5,0.0,9.633660666349296e-16
-4.986998699869987,5.460706075134069e-7,2.1258386912141342e-14,5.460705862550201e-7,1.2497540947808197e-8,-2.3037769925017022e-14,1.2497558779951697e-8,1.9603766961519202e-5,0.0,2.1607642726792386e-5,0.0,1.3326606858582165e-15
-4.985998599859986,6.286895670847046e-7,2.0425134237805783e-14,6.286895466595705e-7,1.552518194968138e-8,-1.7278327443762767e-14,1.552518279146388e-8,2.1213524690080397e-5,0.0,2.1587233266850868e-5,0.0,1.7999799046644447e-15
-4.9849984998499846,7.159589248927189e-7,-1.7728830085466124e-14,7.159589426215491e-7,1.8982966913267034e-8,-1.7278327443762767e-14,1.8982965304681957e-8,2.2838023576762484e-5,0.0,2.1565206520065397e-5,0.0,2.3815586023266362e-15
-4.983998399839984,8.075839796045141e-7,3.593430225980125e-15,8.07583976011084e-7,2.289150312376309e-8,-1.1518884962508511e-14,2.2891494798069855e-8,2.4477301624524436e-5,0.0,2.1541547724749225e-5,0.0,3.094925706777637e-15
-4.982998299829983,9.032630114221998e-7,-1.985475042206691e-14,9.032630312769503e-7,2.7269514528676106e-8,-2.3037769925017022e-14,2.726952475290547e-8,2.6131396219879146e-5,0.0,2.1516242081516388e-5,0.0,3.9589080838528486e-15
-4.981998199819982,1.002690529932704e-6,-1.73640005384208e-14,1.0026905472967043e-6,3.213396268611337e-8,-5.759442481254256e-15,3.213396410730202e-8,2.780034412445911e-5,0.0,2.1489274753902305e-5,0.0,4.993633587154386e-15
-4.98099809980998,1.1055598073849841e-6,-3.0970791498790555e-14,1.105559838355776e-6,3.749986246262353e-8,-2.3037769925017022e-14,3.7499887253384895e-8,2.9484181466559245e-5,0.0,2.1460630868993223e-5,0.0,6.220533514407239e-15
-4.979997999799981,1.2115658315389489e-6,8.639647077855717e-16,1.2115658306749837e-6,4.338055848643563e-8,-2.879721240627128e-14,4.338056284787719e-8,3.1182943732640375e-5,0.0,2.143029551806379e-5,0.0,7.662344717265543e-15
-4.978997899789979,1.3204077204129865e-6,3.710369991414922e-14,1.3204076833092866e-6,4.9787477491432486e-8,-2.3037769925017022e-14,4.978750043326725e-8,3.289666575880717e-5,0.0,2.1398253757222785e-5,0.0,9.343111610607288e-15
