t,vx,vxintra,vxinter,vy,vyintra,vyinter,cbocc
-5.0,-2.8700740964036115e-14,-2.8700740964036115e-14,0.0,-1.7278327443762767e-14,-1.7278327443762767e-14,0.0,0.0
-4.9989998999899985,3.3269881632870304e-9,-2.225826279986262e-15,3.3269903891133097e-9,5.799758578623036e-12,-2.3037769925017022e-14,5.811121263464676e-12,4.378590743499018e-20
-4.997999799979999,1.3335470802004609e-8,-3.417318420010106e-14,1.3335504975188809e-8,4.655357357597815e-11,-1.7278327443762767e-14,4.6562451279651423e-11,7.050567132241997e-19
-4.996999699969997,3.004179174564802e-8,-1.5044405251023028e-14,3.0041806790053275e-8,1.5729037416305372e-10,-2.3037769925017022e-14,1.573005937490193e-10,3.5914957729780266e-18
-4.995999599959996,5.342894011841765e-8,-2.306899513398284e-15,5.342894242531716e-8,3.7298725452850684e-10,-5.759442481254256e-15,3.729956956569978e-10,1.141914545405334e-17
-4.994999499949994,8.344727364249096e-8,1.7168692710639654e-14,8.344725647379824e-8,7.283160584094882e-10,-1.7278327443762767e-14,7.283324412280116e-10,2.80410730878595e-17
-4.9939993999399945,1.2001520910028174e-7,-2.6637877588527562e-14,1.2001523573815931e-7,1.2574993930296104e-9,-1.1518884962508511e-14,1.2575063128290034e-9,5.847349491796786e-17
-4.992999299929993,1.630206741321203e-7,2.8547629949697718e-15,1.6302067127735727e-7,1.9940168975324048e-9,-1.1518884962508511e-14,1.9940274583828444e-9,1.0891935275987813e-16
-4.9919991999199915,2.123220910880998e-7,-2.986279064007598e-14,2.1232212095089038e-7,2.9705303702290636e-9,-5.759442481254256e-15,2.970534393482373e-9,1.86789363102926e-16
-4.990999099909991,2.6775066211352266e-7,1.0169370249689663e-14,2.677506519441524e-7,4.218613074801823e-9,-2.879721240627128e-14,4.218619631348595e-9,3.0072060299791073e-16
-4.98999899989999,3.2911182477408627e-7,-1.3994957290669796e-14,3.2911183876904346e-7,5.768657589224262e-9,0.0,5.768669137135973e-9,4.605927129379223e-16
-4.988998899889989,3.9618796483215145e-7,-2.3367923854125858e-14,3.9618798820007523e-7,7.649697263044384e-9,-3.4556654887525534e-14,7.649717246749768e-9,6.775418392444833e-16
-4.987998799879987,4.6874056100025625e-7,-7.800202920449922e-16,4.6874056178027656e-7,9.889308306862432e-9,-2.3037769925017022e-14,9.889318529915441e-9,9.639724598899522e-16
-4.986998699869987,5.465127848379226e-7,2.1258386912141342e-14,5.465127635795357e-7,1.2513425490171497e-8,-2.3037769925017022e-14,1.2513437817309709e-8,1.3335672546592933e-15
-4.985998599859986,6.292322783763486e-7,2.0425134237805783e-14,6.292322579512144e-7,1.554634790079999e-8,-1.7278327443762767e-14,1.5546359322509503e-8,1.8012952160376215e-15
-4.9849984998499846,7.166139637461138e-7,-1.7728830085466124e-14,7.166139814749439e-7,1.9010606477734574e-8,-1.7278327443762767e-14,1.901061552842497e-8,2.3834182099858773e-15
-4.983998399839984,8.08363016797333e-7,3.593430225980125e-15,8.083630132039029e-7,2.2926935213907765e-8,-1.1518884962508511e-14,2.292693620120663e-8,3.0974962077079696e-15
-4.982998299829983,9.041774470569607e-7,-1.985475042206691e-14,9.041774669117111e-7,2.731421356177312e-8,-2.3037769925017022e-14,2.731421763053998e-8,3.9623914217232554e-15
-4.981998199819982,1.0037513518495125e-6,-1.7382016812448746e-14,1.0037513692315294e-6,3.2189506749402593e-8,-5.759442481254256e-15,3.218951191563941e-8,4.998271593043494e-15
-4.98099809980998,1.1067774580823188e-6,-3.0970791498790555e-14,1.1067774890531101e-6,3.756802546438917e-8,-2.3037769925017022e-14,3.7568035860585386e-8,6.2266126755965776e-15
-4.979997999799981,1.2129500852793247e-6,8.639647077855717e-16,1.2129500844153602e-6,4.346317768882922e-8,-2.879721240627128e-14,4.346319876626768e-8,7.670201165295324e-15
-4.978997899789979,1.3219675725845494e-6,3.7085683640121274e-14,1.3219675354988659e-6,4.988664357207473e-8,-2.3037769925017022e-14,4.9886648130792e-8,9.353136320947117e-15
-4.977997799779978,1.433534840227843e-6,4.931138567843562e-15,1.4335348352967046e-6,5.6848323595750956e-8,-2.3037769925017022e-14,5.684833206694116e-8,1.1300832508005761e-14
-4.976997699769978,1.5473659358026556e-6,2.4109462269649088e-14,1.547365911693193e-6,6.435655743257077e-8,-1.7278327443762767e-14,6.435657707392218e-8,1.3540021900064926e-14
-4.975997599759976,1.6631857321054375e-6,-2.5255128567918372e-14,1.6631857573605664e-6,7.241817002187446e-8,-2.3037769925017022e-14,7.241817959818877e-8,1.60987577499183e-14
-4.974997499749975,1.7807323275021906e-6,-2.122849132371038e-14,1.780732348730682e-6,8.103850036684215e-8,-2.3037769925017022e-14,8.103850966795546e-8,1.9006418423954838e-14
-4.973997399739974,1.8997583060996561e-6,-3.096628743690156e-14,1.8997583370659438e-6,9.022161463386558e-8,-2.3037769925017022e-14,9.02216247874533e-8,2.2293712380469148e-14
-4.972997299729974,2.0200324754820684e-6,-2.4561502021099772e-14,2.0200325000435704e-6,9.997038102530046e-8,-1.7278327443762767e-14,9.997039214456021e-8,2.5992684257599254e-14
-4.971997199719972,2.141340965941735e-6,2.0231459279702942e-14,2.141340945710276e-6,1.1028661376552834e-7,-2.879721240627128e-14,1.1028661718298262e-7,3.013672219965204e-14
-4.970997099709971,2.2634880685098413e-6,4.138422503008595e-15,2.2634880643714188e-6,1.2117115949259398e-7,-2.3037769925017022e-14,1.2117117655803825e-7,3.4760566538783776e-14
-4.969996999699971,2.3862972259664196e-6,-1.0502644183197673e-15,2.3862972270166846e-6,1.3262412763590455e-7,-2.3037769925017022e-14,1.3262415348757706e-7,3.990031992242716e-14
-4.968996899689969,2.5096112026864184e-6,-3.061947416801732e-14,2.5096112333058925e-6,1.4464497104842427e-7,0.0,1.4464497353527542e-7,4.559345894564832e-14
