t,vx,vxintra,vxinter,vy,vyintra,vyinter,fx,fy,ax,ay,cbocc
-5.0,-5.174469622014194e-16,-5.174469622014194e-16,0.0,4.218341661074894e-18,4.218341661074894e-18,0.0,-5.137660759568196e-19,-0.0,2.1301866088666247e-5,0.0,0.0
-4.997499374843711,4.4283866256253954e-10,-9.952578525733308e-16,4.4283965782039214e-10,1.1564876032193403e-11,1.4061138870249648e-17,1.1564861971054532e-11,3.5108255329834563e-6,0.0,2.1297494600393034e-5,0.0,1.190549280246542e-19
-4.994998749687422,1.785534287548285e-9,5.485212797717926e-16,1.7855337390270053e-9,9.118471457775228e-11,1.5467252757274612e-17,9.118469911049952e-11,7.1090505257551335e-6,0.0,2.1284234719728532e-5,0.0,1.93653067327986e-18
-4.992498124531133,4.0486951538948155e-9,1.2391687102495779e-15,4.048693914726106e-9,3.002587456955844e-10,-2.2497822192399436e-17,3.002587681934066e-10,1.0795350732099026e-5,0.0,2.1261867044295266e-5,0.0,9.965317040593001e-18
-4.989997499374844,7.252182468481417e-9,4.3213051164725384e-17,7.252182425268367e-9,6.904543725685608e-10,-3.515284717562412e-17,6.90454407721408e-10,1.4570381433686742e-5,0.0,2.123017050734542e-5,0.0,3.201050475447733e-17
-4.987496874218555,1.141524969813127e-8,-7.677533386140433e-17,1.1415249774906604e-8,1.306321578849535e-9,4.1480359667236463e-17,1.3063215373691751e-9,1.8434776667106977e-5,0.0,2.1188922429918227e-5,0.0,7.941890422708501e-17
-4.984996249062266,1.6556604543279097e-8,-1.1620274234281007e-15,1.655660570530652e-8,2.1900460594483273e-9,-2.952839162752426e-17,2.190046088976719e-9,2.2389148441588054e-5,0.0,2.1137898574942032e-5,0.0,1.673343766142409e-16
-4.982495623905977,2.2694427494558558e-8,1.219527754367325e-15,2.2694426275030802e-8,3.3840336626849717e-9,-2.952839162752426e-17,3.3840336922133637e-9,2.643408594754658e-5,0.0,2.1076873203304652e-5,0.0,3.149587617194088e-16
-4.979994998749687,2.984634784018585e-8,1.2716655645274891e-15,2.984634656852028e-8,4.930240638194326e-9,-4.921398604587377e-18,4.930240643115724e-9,3.057015475607248e-5,0.0,2.1005619131912892e-5,0.0,5.458181878794666e-16
-4.977494373593398,3.802947713892302e-8,1.4177228546337007e-15,3.8029475721200166e-8,6.86854920090504e-9,1.3358081926737165e-17,6.8685491875469576e-9,3.479789600949261e-5,0.0,2.0923907793766495e-5,0.0,8.880345101438653e-16
-4.974993748437109,4.7260429823363275e-8,1.4952153532964098e-15,4.726042832814793e-8,9.236606598783804e-9,8.436683322149789e-18,9.23660659034712e-9,3.911782560316265e-5,0.0,2.083150930006633e-5,0.0,1.374601617464959e-15
-4.97249312328082,5.755534397485456e-8,-3.367501680846873e-16,5.755534431160473e-8,1.2071195041351064e-8,-8.436683322149789e-18,1.2071195049787747e-8,4.3530433358622673e-5,0.0,2.0728192504379433e-5,0.0,2.0436663380448605e-15
-4.969992498124531,6.892988513905166e-8,-4.02100984929277e-16,6.892988554115264e-8,1.5409375431237854e-8,-5.554149853748611e-17,1.5409375486779352e-8,4.803618218827318e-5,0.0,2.0613725068882783e-5,0.0,2.9388136147805494e-15
-4.9674918729682425,8.139922357230635e-8,-5.995818686181162e-16,8.139922417188822e-8,1.9288232073208215e-8,-4.218341661074894e-18,1.9288232077426555e-8,5.2635507251746764e-5,0.0,2.0487873532705716e-5,0.0,4.109355702227279e-15
-4.964991247811954,9.497804216601912e-8,-7.570666239649114e-16,9.497804292308573e-8,2.3743931811961957e-8,3.163756245806171e-17,2.3743931780324393e-8,5.732881510413313e-5,0.0,2.03504033823932e-5,0.0,5.610624937867219e-15
-4.962490622655665,1.096805466222945e-7,-5.153043124688113e-16,1.0968054713759881e-7,2.8811401771276198e-8,2.1794765248886954e-17,2.881140174948143e-8,6.211648283624523e-5,0.0,2.020107912450744e-5,0.0,7.504269788170749e-15
-4.959989997499374,1.2552047397959868e-7,1.0909687704107544e-15,1.255204728886299e-7,3.452499900652474e-8,2.109170830537447e-18,3.4524999004415566e-8,6.699885720710173e-5,0.0,2.003966436039057e-5,0.0,9.858553808050352e-15
-4.957489372343085,1.4251108117675495e-7,-3.171092122024353e-16,1.4251108149386415e-7,4.091925668829537e-8,8.436683322149789e-18,4.091925667985869e-8,7.197625376881743e-5,0.0,1.9865921863106085e-5,0.0,1.2748657089496803e-14
-4.954988747186796,1.606651486433273e-7,1.4727175311040087e-15,1.6066514717060977e-7,4.80288270083268e-8,1.2655024983224683e-17,4.8028826995671775e-8,7.704895598413697e-5,0.0,1.9679613656576528e-5,0.0,1.6256979756069746e-14
-4.952488122030507,1.7999495348843602e-7,1.5477102717453398e-15,1.7999495194072572e-7,5.588788478445868e-8,-2.038865136186199e-17,5.588788480484733e-8,8.221721433676711e-5,0.0,1.9480501096938452e-5,0.0,2.04734470632386e-14
-4.949987496874218,2.0051229152906351e-7,2.672601381365311e-15,2.0051228885646215e-7,6.45297874132453e-8,1.4061138870249648e-17,6.452978739918417e-8,8.748124543475708e-5,0.0,1.926834495613036e-5,0.0,2.549581566120901e-14
-4.9474868717179294,2.2222846471658838e-7,-1.4819699161505635e-16,2.2222846486478537e-7,7.398744951266819e-8,-2.882533468401178e-17,7.398744954149351e-8,9.28412311071533e-5,0.0,1.9042905507730767e-5,0.0,3.1429980547099513e-14
-4.9449862465616405,2.4515429333524405e-7,-9.463340170120836e-16,2.45154294281578e-7,8.429382715298133e-8,-1.476419581376213e-17,8.429382716774553e-8,9.829731749414733e-5,0.0,1.880394261506367e-5,0.0,3.8390282124915917e-14
-4.942485621405352,2.6930008833126306e-7,1.1109668345817743e-15,2.6930008722029623e-7,9.548198263695026e-8,8.436683322149789e-18,9.548198262851357e-8,0.0001038496141309714,0.0,1.8551215821587875e-5,0.0,4.649981294276775e-14
-4.939984996249063,2.946756415461772e-7,2.660486233561064e-16,2.946756412801286e-7,1.0758466055457529e-7,-7.030569435124824e-19,1.0758466055527836e-7,0.00010949819302577558,0.0,1.8284484443582874e-5,0.0,5.5890723507600645e-14
-4.937484371092773,3.212902396017024e-7,-4.378118138061062e-16,3.2129024003951426e-7,1.2063404639618232e-7,-1.1248911096199718e-17,1.2063404640743124e-7,0.00011524308773176365,0.0,1.8003507665149668e-5,0.0,6.670452653958847e-14
-4.934983745936485,3.491526535041713e-7,1.5048572770931482e-15,3.49152651999314e-7,1.3466192936119642e-7,5.624455548099859e-18,1.3466192935557196e-7,0.00012108429241383107,0.0,1.7708044635538454e-5,0.0,7.90923991691158e-14
-4.932483120780195,3.7827112264865143e-7,-1.4291444234267544e-15,3.7827112407779586e-7,1.4970007106338908e-7,-1.4061138870249648e-18,1.497000710647952e-7,0.00012702176091002092,0.0,1.7397854568815007e-5,0.0,9.321548244292364e-14
-4.929982495623905,4.0865337241457165e-7,1.7841159589099136e-15,4.086533706304556e-7,1.6578024042760356e-7,1.1248911096199718e-17,1.6578024041635464e-7,0.00013305540578800525,0.0,1.707269684588335e-5,0.0,1.0924517748188468e-13
-4.927481870467616,4.403065647408489e-7,7.160050672040923e-16,4.4030656402484383e-7,1.8293396745065798e-7,7.100875129476072e-17,1.8293396737964922e-7,0.00013918509739697992,0.0,1.6732331118870734e-5,0.0,1.2736343762330205e-13
-4.9249812453113275,4.7323733034977513e-7,7.531443292359901e-16,4.732373295966308e-7,2.0119231366461844e-7,-3.515284717562412e-17,2.0119231369977128e-7,0.00014541066291520158,0.0,1.6376517417891312e-5,0.0,1.4776305586675172e-13
-4.922480620155039,5.074517434162142e-7,1.828040278428407e-15,5.074517415881739e-7,2.2058599406506703e-7,1.1741050956658456e-16,2.2058599394765653e-7,0.00015173188539350046,0.0,1.600501626019434e-5,0.0,1.7064794692320143e-13
-4.91997999499875,5.429553162306895e-7,5.678316613791128e-17,5.429553161739063e-7,2.4114559930990843e-7,3.5855904119136604e-17,2.411455992740525e-7,0.00015814850279509602,0.0,1.5617588761711127e-5,0.0,1.9623342321964385e-13
-4.917479369842461,5.797529994618201e-7,-1.7423283926765076e-15,5.797530012041485e-7,2.629016777529043e-7,1.5467252757274612e-17,2.6290167773743705e-7,0.00016466020703202272,0.0,1.5213996751006058e-5,0.0,2.247464640616526e-13
-4.914978744686172,6.178491677083438e-7,6.956498947443011e-16,6.178491670126939e-7,2.8588453444827064e-7,3.515284717562412e-18,2.8588453444475535e-7,0.00017126664299852413,0.0,1.479400288564116e-5,0.0,2.5642597707487265e-13
-4.912478119529883,6.572476004603178e-7,1.3502293880564928e-15,6.572475991100885e-7,3.101240798182171e-7,4.00742457802115e-17,3.1012407977814286e-7,0.00017796740760174385,0.0,1.4357370770961346e-5,0.0,2.9152305140048397e-13
-4.909977494373593,6.97951493501384e-7,1.2213132958111564e-15,6.979514922800706e-7,3.356498510754307e-7,-2.109170830537447e-17,3.3564985109652243e-7,0.0001847620487900799,0.0,1.3903865081306562e-5,0.0,3.303012016850403e-13
-4.907476869217305,7.399634401338495e-7,-1.6809057670083725e-15,7.399634418147552e-7,3.624911738540901e-7,-5.905678325504852e-17,3.6249117391314687e-7,0.0001916500645795374,0.0,1.3433251683657392e-5,0.0,3.730366020438224e-13
-4.904976244061015,7.832854351521009e-7,9.777654428712109e-16,7.832854341743354e-7,3.906772239369158e-7,7.733626378637306e-18,3.9067722392918216e-7,0.00019863090207852441,0.0,1.2945297763713867e-5,0.0,4.2001830920796045e-13
-4.902475618904726,8.27918837157757e-7,1.7884896675967055e-18,8.279188371559685e-7,4.202369185615355e-7,-4.710481521533632e-17,4.202369186086403e-7,0.00020570395651135643,0.0,1.2439771954418983e-5,0.0,4.71548474021417e-13
-4.899974993748437,8.738643929482336e-7,2.0176913137781364e-16,8.738643927464645e-7,4.5119883453736567e-7,-4.499564438479887e-17,4.511988345823613e-7,0.00021286857024097785,0.0,1.1916444466923123e-5,0.0,5.279425404150806e-13
-4.897474368592148,9.211222109826895e-7,1.6805545551671153e-15,9.211222093021348e-7,4.835911699561402e-7,2.882533468401178e-17,4.835911699273148e-7,0.00022012403179123445,0.0,1.1375087223991746e-5,0.0,5.89529430966797e-13
-4.894973743435859,9.696917542417082e-7,1.482002346611971e-15,9.69691752759706e-7,5.174418494462243e-7,9.842797209174753e-18,5.174418494363815e-7,0.00022746957486911347,0.0,1.0815473995859656e-5,0.0,6.566517180866101e-13
-4.89247311827957,1.0195718368749082e-6,2.2141008726006501e-16,1.0195718366534983e-6,5.527784988958298e-7,4.218341661074894e-17,5.527784988536464e-7,0.00023490437738738688,0.0,1.0237380538530846e-5,0.0,7.296657800394856e-13
-4.889972493123281,1.0707606130042213e-6,7.335033733537272e-16,1.0707606122707181e-6,5.896284161675683e-7,1.1248911096199718e-17,5.896284161563194e-7,0.0002424275604880791,0.0,9.640584734518125e-6,0.0,8.089419408577237e-13
-4.887471867966992,1.123255561156752e-6,5.37808031108728e-16,1.123255560618944e-6,6.280185291731074e-7,-3.937118883669901e-17,6.280185292124786e-7,0.00025003818756718564,0.0,9.02486673602669e-6,0.0,8.94864593253877e-13
-4.884971242810703,1.1770534843952624e-6,5.8030391747214805e-16,1.1770534838149582e-6,6.679753937338541e-7,-1.476419581376213e-17,6.679753937486183e-7,0.0002577352633011113,0.0,8.39000911057242e-6,0.0,9.878323034611339e-13
-4.882470617654414,1.2321504947283533e-6,-1.3945049194162474e-15,1.2321504961228581e-6,7.095252508781152e-7,-5.554149853748611e-17,7.095252509336566e-7,0.00026551773267526567,0.0,7.735796989032697e-6,0.0,1.0882578970027975e-12
-4.879969992498124,1.2885420143194934e-6,-3.831742456245787e-16,1.2885420147026676e-6,7.526939596962721e-7,-2.8122277740499295e-18,7.526939596990844e-7,0.000273384480015297,0.0,7.062018216122117e-6,0.0,1.196568524782435e-12
-4.877469367341835,1.3462227493018897e-6,-2.810412750368623e-16,1.3462227495829312e-6,7.975069649118919e-7,4.288647355426143e-17,7.975069648690055e-7,0.0002813343280214015,0.0,6.368463503290697e-6,0.0,1.3132057081476468e-12
-4.874968742185546,1.4051866958090831e-6,4.1496277977244675e-16,1.4051866953941204e-6,8.439892826042124e-7,-2.671616385347433e-17,8.439892826309285e-7,0.00028936603680627867,0.0,5.654926584026442e-6,0.0,1.4386253622029218e-12
-4.872468117029257,1.4654271210721545e-6,-4.931635985652011e-16,1.465427121565318e-6,8.92165483964253e-7,3.444979023211164e-17,8.921654839298033e-7,0.0002974783029371188,0.0,4.921204371563074e-6,0.0,1.5732977963557063e-12
-4.869967491872968,1.526936562364918e-6,-4.460253044477943e-16,1.5269365628109432e-6,9.420597493074394e-7,-4.00742457802115e-17,9.420597493475136e-7,0.0003056697584822022,0.0,4.167097118978057e-6,0.0,1.7177076911008616e-12
-4.867466866716679,1.58970680990103e-6,-5.324455103297105e-16,1.5897068104334754e-6,9.93695806315666e-7,1.8982537474837024e-17,9.936958062966836e-7,0.00031393897006259843,0.0,3.3924085816644995e-6,0.0,1.872354050040081e-12
-4.86496624156039,1.6537289015028244e-6,-1.378435046421684e-15,1.6537289028812596e-6,1.0470968998557474e-6,-1.4061138870249648e-17,1.0470968998698086e-6,0.00032228443790948037,0.0,2.596946182172127e-6,0.0,2.0377501260668097e-12
-4.862465616404101,1.718993115889927e-6,-1.2038090932140125e-15,1.7189931170937362e-6,1.1022858257058236e-6,2.5310049966449366e-17,1.1022858256805136e-6,0.0003307045949276016,0.0,1.780521177393967e-6,0.0,2.2144233209156726e-12
-4.859964991247812,1.7854889599980758e-6,1.0927543118545695e-15,1.7854889589053214e-6,1.1592848611123404e-6,0.0,1.1592848611123404e-6,0.0003391978057654727,0.0,9.429488280904369e-7,0.0,2.4029150571478805e-12
-4.8574643660915235,1.853205153303957e-6,-1.1927122022485594e-16,1.8532051534232281e-6,1.2181157593959211e-6,2.109170830537447e-18,1.218115759393812e-6,0.00034776236589276085,0.0,8.40485707269101e-8,0.0,2.6037806215171827e-12
-4.854963740935235,1.922129636719781e-6,1.6998649367742077e-16,1.922129636549795e-6,1.2787997441692425e-6,9.139740265662271e-18,1.2787997441601028e-6,0.00035639650068554465,0.0,-7.96355808392059e-7,-0.0,2.81758897902439e-12
