zeta,m,interintra,intertot
1.0,1.0,1.4772763189298455,3.5778197236073
1.57,1.0,0.000279636162807265,7.839157449605469
2.14,1.0,0.01557772313186196,13.457157580866102
2.71,1.0,0.04517549292043117,13.641667644626228
3.29,1.0,-0.014072448335741252,13.493441604235512
3.86,1.0,-0.02426235286094866,12.64789610882051
4.43,1.0,0.1733021066598579,11.20839830093893
5.0,1.0,0.056775949159174985,11.275143695179276
1.0,3.71,6.527896910211444,-0.035201308535168764
1.57,3.71,4.879657812286432,-0.007832616465031274
2.14,3.71,3.4948348355526475,0.6452773928800195
2.71,3.71,2.7704189611248147,0.7402281672822283
3.29,3.71,2.5271233639283155,1.2840200227111218
3.86,3.71,2.7408723569053683,1.2814866282400161
4.43,3.71,2.8169923835298682,1.2853344194596001
5.0,3.71,2.928118346000981,1.1578966608116643
1.0,6.43,9.97956144488796,-0.013021493913834083
1.57,6.43,9.241323085238902,-0.02096906783645853
2.14,6.43,8.017623559825573,-0.04023096436278786
2.71,6.43,7.826503201655531,-0.04352761722532709
3.29,6.43,8.38797741784405,-0.03340867361730251
3.86,6.43,8.431609508504923,-0.02642396487053557
4.43,6.43,7.951590133839322,-0.03514681850710228
5.0,6.43,7.792474435863065,-0.04471342935448177
1.0,9.14,11.318530835452849,8.739832020739515e-5
1.57,9.14,10.683308075144524,-0.002791817208697551
2.14,9.14,10.20554265196955,-0.0015367360037062596
2.71,9.14,9.837424745745649,-0.010519281759803826
3.29,9.14,8.916110380957816,-0.015029063828711765
3.86,9.14,10.124515165050376,-0.007507428545372456
4.43,9.14,10.36524133225,-0.01048734115187747
5.0,9.14,8.851699856320465,-0.009698009648107657
1.0,11.9,11.95538297841289,-0.0012324411692129745
1.57,11.9,11.114942739634657,0.0014228618259262862
2.14,11.9,11.32629650814216,-0.004019065001596884
2.71,11.9,10.85285882958581,0.0034727899942516216
3.29,11.9,10.718617824132853,-1.1841470826105175e-5
3.86,11.9,12.011793233047724,-1.4800857692439844e-5
4.43,11.9,12.059220447245998,-7.90663857500503e-5
5.0,11.9,11.839647729747771,0.0031571762173549776
1.0,14.6,12.420670315437349,-0.0009621599989969397
1.57,14.6,11.067783897826308,0.0008899874612778338
2.14,14.6,11.188765807276821,6.071858835635522e-5
2.71,14.6,10.968621412595533,0.0003134118650216438
3.29,14.6,10.235553222375797,0.0004549856307185829
3.86,14.6,11.15733714161961,-9.69494197332958e-5
4.43,14.6,12.470817271820758,0.0006154585588820287
5.0,14.6,11.91002600492042,-0.0014609383210123234
1.0,17.3,11.969523828290583,0.0019074971292720635
1.57,17.3,11.043473587190295,-0.0001622931470342153
2.14,17.3,12.152205270391217,-0.0007870148247177756
2.71,17.3,11.233730305251669,-0.0022107721651192236
3.29,17.3,11.037983853468301,-0.0010995997567938623
3.86,17.3,10.675907212094879,-0.0007319829767557624
4.43,17.3,12.619258192315323,0.0010697062703868753
5.0,17.3,12.123819358685015,0.002384837695027354
1.0,20.0,12.677084090078798,0.00013430926802423702
1.57,20.0,11.96947498486143,0.00018296928572923975
2.14,20.0,11.843638876083608,0.0019028496649940289
2.71,20.0,11.33173192360288,-0.0008207914932209559
3.29,20.0,11.702827835119331,-0.0009273480443546285
3.86,20.0,11.778968984609273,-0.0006457930767115933
4.43,20.0,9.699730277952193,-0.001474427378545008
5.0,20.0,12.18432707803196,0.001947623873289213
