t,vx,vxintra,vxinter,vy,vyintra,vyinter,fx,fy,ax,ay,cbocc
-5.0,-1.7080271364806392e-13,-1.7080271364806392e-13,0.0,1.1518884962508511e-14,1.1518884962508511e-14,0.0,2.702594096114434e-19,0.0,2.1301866088666325e-5,0.0,0.0
-4.997499374843711,2.2361254216538572e-8,-2.3719218586582606e-13,2.2361491408724435e-8,2.432863376834054e-9,-4.031609736877979e-14,2.4329047740222175e-9,3.510825532985044e-6,0.0,2.1297494600393112e-5,0.0,6.525440405277754e-19
-4.994998749687422,8.820400099795716e-8,-2.8334537770828596e-13,8.820428434333489e-8,1.7220957637206993e-8,-5.759442481254256e-15,1.7221021275743426e-8,7.109050525755936e-6,0.0,2.128423471972861e-5,0.0,1.0534807656160868e-17
-4.992498124531133,1.93858809936728e-7,2.1754831635379027e-13,1.9385859238841163e-7,5.136436676726005e-8,-4.031609736877979e-14,5.136442277804407e-8,1.079535073209984e-5,0.0,2.1261867044295344e-5,0.0,5.3564460665419636e-17
-4.989997499374844,3.341434807686531e-7,-1.53572169922357e-13,3.3414363434082303e-7,1.0965923769604532e-7,0.0,1.0965922160727037e-7,1.4570381433687562e-5,0.0,2.1230170507345498e-5,0.0,1.6930765412196417e-16
-4.987496874218555,5.029578833241379e-7,-1.435033041060104e-13,5.02958026827442e-7,1.9515769481542375e-7,1.7278327443762767e-14,1.9515758421509412e-7,1.843477666710781e-5,0.0,2.1188922429918304e-5,0.0,4.117798056078987e-16
-4.984996249062266,6.937909638563935e-7,9.933065255843156e-14,6.937908645257409e-7,3.097958438287788e-7,-1.1518884962508511e-14,3.0979591821247795e-7,2.238914844158889e-5,0.0,2.113789857494211e-5,0.0,8.475606354777416e-16
-4.982495623905977,9.000555708736951e-7,1.6583838326732454e-13,9.000554050353119e-7,4.5445869218666486e-7,5.759442481254256e-14,4.5445867955341065e-7,2.643408594754743e-5,0.0,2.1076873203304727e-5,0.0,1.553416629085057e-15
-4.979994998749687,1.115411157144284e-6,-1.2645014811700067e-13,1.115411283594432e-6,6.292465233015657e-7,-5.759442481254256e-15,6.292465140340694e-7,3.057015475607334e-5,0.0,2.100561913191297e-5,0.0,2.6136212132059085e-15
-4.977494373593398,1.333972594504731e-6,2.035191989237155e-13,1.3339723909855322e-6,8.335715687899417e-7,-5.759442481254256e-15,8.335715700574708e-7,3.4797896009493474e-5,0.0,2.092390779376657e-5,0.0,4.117150568743028e-15
-4.974993748437109,1.5504975205443575e-6,-2.406315369829025e-13,1.5504977611758947e-6,1.0663100059187532e-6,4.031609736877979e-14,1.0663100017272051e-6,3.9117825603164405e-5,0.0,2.0831509300066405e-5,0.0,6.1549155690280116e-15
-4.97249312328082,1.7605004823202007e-6,2.1109900506957753e-13,1.7605002712211954e-6,1.3259188742878298e-6,-1.7278327443762767e-14,1.3259188739701566e-6,4.3530433358623554e-5,0.0,2.0728192504379508e-5,0.0,8.817165972271028e-15
