path,zeta,M,dt,dkx,rtol,atol
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.11601553017399716_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.11601553017399716,0.00078125,0.00023561944901923454,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.13459603241553642_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.13459603241553642,0.00078125,0.00023561944901923454,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.15615230060004973_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.15615230060004973,0.00078125,0.00023561944901923454,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.18116091942004142_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.18116091942004142,0.00078125,0.00047123889803846907,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.1_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.1,0.00078125,0.00047123889803846907,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.21017480113324882_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.21017480113324882,0.00078125,0.00047123889803846907,9.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.2438354098268829_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.2438354098268829,0.00078125,0.00047123889803846907,8.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.28288694346259696_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.28288694346259696,0.00078125,0.00047123889803846907,7.000000000000002e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.3281927872511474_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.3281927872511474,0.00078125,0.00047123889803846907,6.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.3807546021222372_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.3807546021222372,0.00078125,0.00047123889803846907,4.9999999999999996e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.4417344703140069_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.4417344703140069,0.00078125,0.00047123889803846907,4.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.5124805876960934_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.5124805876960934,0.00078125,0.0009424777960769381,9.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.5945570708544391_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.5945570708544391,0.00078125,0.00047123889803846907,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.6897785379387658_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.6897785379387658,4.8828125e-5,0.0009424777960769381,4.000000000000001e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.8002502278161051_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.8002502278161051,4.8828125e-5,0.0009424777960769381,5.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.9284145445194745_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,0.9284145445194745,4.8828125e-5,0.0009424777960769381,5.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.0771050560367692_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,1.0771050560367692,4.8828125e-5,0.0009424777960769381,4.000000000000001e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.2496091412919867_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,1.2496091412919867,4.8828125e-5,0.0009424777960769381,2.0000000000000005e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.4497406703726323_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,1.4497406703726323,0.00078125,0.0009424777960769381,8.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.6819243248808697_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,1.6819243248808697,0.00078125,0.0009424777960769381,4.9999999999999996e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.9512934226359633_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,1.9512934226359633,0.00078125,0.0009424777960769381,4.9999999999999996e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=10.0_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,10.0,0.00078125,0.0018849555921538763,8.0e-7,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=2.2638034095214477_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,2.2638034095214477,0.00078125,0.0018849555921538763,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=2.6263635276533326_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,2.6263635276533326,0.00078125,0.0018849555921538763,7.000000000000002e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=3.046989570903508_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,3.046989570903508,0.00078125,0.0018849555921538763,4.9999999999999996e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=3.5349811050301057_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,3.5349811050301057,0.00078125,0.0018849555921538763,4.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=4.1011270705513_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,4.1011270705513,0.00078125,0.0018849555921538763,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=4.7579443140094115_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,4.7579443140094115,0.00078125,0.0018849555921538763,2.0000000000000008e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=5.5199543212815705_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,5.5199543212815705,0.00078125,0.0018849555921538763,2.0000000000000008e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.1/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=6.404004271197279_zeta=0.1_dkx_PowerLawTest_dkx.hdf5,0.1,6.404004271197279,0.00078125,0.0018849555921538763,2.0000000000000008e-6,1.0e-13
